Community Area,Community Area Number,Hardship Index Score,Percent of Crowded Housing,Percent of Households with Income Below Poverty Level,Unemployment rate for population Age 16 and Over,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income
Rogers Park,1,39.4,6.6,22.6,7.7,9.5,26.2,25874
West Ridge,2,47.3,7.7,16.8,8.6,11.7,37.9,24721
Uptown,3,31.5,4.7,21.3,6.6,7.8,24.3,37869
Lincoln Square,4,21.7,1.7,10.8,4.2,6,25.8,44432
North Center,5,16.9,0.7,5.2,3.6,4.4,32.2,64494
Lakeview,6,9.9,1.6,9.2,3.1,1.6,19.5,67066
Lincoln Park,7,10.3,1.1,10.7,3.1,1.7,22.9,73965
Near North Side,8,8.6,1.9,10.8,3.9,1.9,23.7,91948
Edison Park,9,21.8,1,4.3,2.9,3.6,37.7,51423
Norwood Park,10,28.2,1.3,8,4.7,5.7,38.7,40219
Jefferson Park,11,31.3,2.9,7.4,5.7,8.2,35.2,35183
Forest Glen,12,26.7,1,6.5,3.8,3.8,42.8,47342
North Park,13,42.8,5,15.5,7,8.7,42.7,28173
Albany Park,14,45.7,8.6,16.5,7.1,14.3,32,25848
Portage Park,15,36.2,3.5,13.2,7,10.7,33,28866
Irving Park,16,32.3,3.5,10.3,5.8,10.3,30.2,31043
Dunning,17,33.4,2,9.6,5.1,9,37.4,29080
Montclare,18,43.9,4.7,15.6,7.5,15.3,36.9,26831
Belmont Cragin,19,55.9,8.2,18.7,9.2,22.2,36.6,17965
Hermosa,20,54.3,6.6,22.3,7.4,24,35.1,17896
Avondale,21,38.6,3.3,16.4,5.5,16.4,30.5,26860
Logan Square,22,25.6,2.7,13,4.2,7.9,26,41065
Humboldt Park,23,60.3,9.1,30.1,12.1,16.9,38.5,15849
West Town,24,18.7,2,11.5,4.7,7,21,54429
Austin,25,53.1,4.4,28.1,15.4,13.6,38.6,17586
West Garfield Park,26,68.3,8,40.5,20,15.5,43,12483
East Garfield Park,27,58.9,4.7,40.7,18.5,12.7,38.5,14638
Near West Side,28,26.6,4.2,20.5,8.3,5.6,22.2,50394
North Lawndale,29,59.8,4.4,37.8,19.9,14.2,38.9,13236
South Lawndale,30,70.6,13.6,30.3,8.7,28.8,35.3,11345
Lower West Side,31,50.1,6.1,22.1,7,22.2,32,21131
Loop,32,9,2.8,11.3,4.6,1.4,16.7,77722
Near South Side,33,11.2,2.4,10,3,2.7,24.1,82859
Armour Square,34,63.5,5.7,38.2,11.7,25,40.4,19067
Douglas,35,42.5,2.4,32.8,15,7.7,30.4,24056
Oakland,36,53.2,2.5,33.2,22.6,9.1,40.1,20884
Fuller Park,37,64.9,1.7,33.8,30.7,20,41.7,17515
Grand Boulevard,38,49.8,2,32.5,19.6,9.7,38.7,24616
Kenwood,39,34.6,1.8,23.7,10.8,5.5,35.4,42491
Washington Park,40,60.2,3.9,38.9,23.2,10,42.2,14203
Hyde Park,41,25.3,1.6,23.3,6.7,2.2,26.4,41719
Woodlawn,42,50.4,3.5,35.2,16.9,8.2,36.7,19117
South Shore,43,51.4,3.2,36.9,18.9,7.5,37.5,20067
Chatham,44,47.9,2.9,26.1,19,8,37.9,21416
Avalon Park,45,47.6,1.9,23.5,17.8,9.8,40.6,22578
South Chicago,46,54.9,3.4,28.9,20.3,11.6,41.1,16996
Burnside,47,51.2,1.3,24.9,22.3,10.4,41.1,17678
Calumet Heights,48,38.4,2,13.7,12.3,8.1,37.8,27488
Roseland,49,52.6,2.2,24,24.3,9.6,41.8,19755
Pullman,50,43.3,2,21.1,17.4,8.6,35.9,23659
South Deering,51,58.1,3.2,27.3,22.4,14.1,43.4,16207
East Side,52,56.7,5.3,18.5,18.1,18.1,41,17931
West Pullman,53,54.3,3.2,23.9,25.1,10.1,41.1,18007
Riverdale,54,84.2,10.5,58.8,35.6,9.3,47.6,9601
Hegewisch,55,37,3,15.2,8.3,9.5,34.3,27546
Garfield Ridge,56,38.7,3.6,6.3,9.4,12.4,37.5,28925
Archer Heights,57,56.1,9.7,15.9,9.2,17.9,40.2,18497
Brighton Park,58,66.1,12.7,23.2,10.9,24.2,37.7,15552
McKinley Park,59,51.5,5.5,23.1,12,18.4,34.6,19923
Bridgeport,60,41.9,4.7,18.4,8.9,15.1,30.2,25373
New City,61,62.6,8.2,28,18.3,17.1,39.4,14267
West Elsdon,62,49.2,6.4,10.7,11.8,16.2,37.7,19283
Gage Park,63,65.3,12.1,18.5,13.7,22.4,39,13605
Clearning,64,38.8,3.6,9.9,10.1,9.9,36.4,25722
West Lawn,65,53.7,6.8,14.5,13.1,18.6,38.7,18633
Chicago Lawn,66,59.2,5.2,27.4,22,17.2,37.2,14618
West Englewood,67,63.3,3.3,30.5,31.6,14,41.8,14836
Englewood,68,70.5,4,42.4,34.1,16.1,41.5,12777
Greater Grand Crossing,69,54.3,3.2,35.4,22,9.1,37.9,16719
Ashburn,70,40.8,3.3,11.3,13,9.6,36.9,23990
Auburn Gresham,71,51.5,1.9,27.9,21.1,11.3,39.2,18473
Beverly,72,24.5,0.3,5.5,6.2,2.3,39.7,44979
Washington Heights,73,43.3,1.4,20.2,18.3,7.2,38.2,22275
Mount Greenwood,74,25.6,2.4,4.6,3.1,2.8,36.4,36365
Morgan Park,75,36.7,0.4,15.5,11.7,5.8,41.4,29636
O'Hare,76,33.8,2.8,14.1,7.7,8.8,31.2,28606
Edgewater,77,28.9,4.1,15.8,6.2,7.3,25.2,38748
